company;drn
Omni Capital Retail Finance Limited;DRN-2610030
@SIPP LIMITED;DRN-2796286
Retail Money Market Ltd;DRN-2815239
CMC Spreadbet Plc;DRN-2849730
AJ Bell Management Limited;DRN-2864928
DTW Associates Limited;DRN-2917791
Brown Shipley & Co Limited;DRN-2926214
Phoenix Life Limited;DRN-2932498
Jacob Hopkins McKenzie Limited;DRN-2935543
The Co-operative Bank Plc;DRN-2958059
Oxford Capital Partners LLP;DRN-2963050
Financial Solutions Wales Ltd;DRN-2986009
Evelyn Partners Investment Management Services Limited;DRN-2996465
Options UK Personal Pensions LLP;DRN-3026021
Clydesdale Financial Services Limited;DRN-3026025
National Westminster Bank Plc;DRN-3026059
Tesco Personal Finance PLC;DRN-3026074
Shawbrook Bank Limited;DRN-3026095
Options UK Personal Pensions LLP;DRN-3026139
Barclays Bank UK PLC;DRN-3026157
National Westminster Bank Plc;DRN-3026238
Options UK Personal Pensions LLP;DRN-3026256
Options UK Personal Pensions LLP;DRN-3026338
Options UK Personal Pensions LLP;DRN-3042695
Options UK Personal Pensions LLP;DRN-3042737
Options UK Personal Pensions LLP;DRN-3042862
Harvest Associates Ltd;DRN-3083787
The Enterprise Fund Limited;DRN-3086150
IG Index Limited;DRN-3092159
Thompson Taraz Managers Limited;DRN-3098280
Invesco Fund Managers Limited;DRN-3106274
St. James's Place Wealth Management Plc;DRN-3111330
Quilter Financial Services Ltd;DRN-3123715
Octopus Investments Limited;DRN-3127832
Thornton & Baines Independent Financial Advisers Limited;DRN-3136246
eToro (UK) Ltd;DRN-3139365
Capital Professional Limited;DRN-3151115
Bank of Scotland Plc;DRN-3152434
Quilter Financial Services Ltd;DRN-3157158
Trade Facts Ltd;DRN-3157746
Coutts & Company;DRN-3165472
Trading 212 UK Limited;DRN-3168101
Lloyds Bank PLC;DRN-3174532
IG Markets Limited;DRN-3178622
Lighthouse Advisory Services Limited;DRN-3181448
HSBC Trust Company (UK) Ltd;DRN-3187105
Mitsubishi HC Capital UK Plc;DRN-3188729
Mitsubishi HC Capital UK Plc;DRN-3188778
Mitsubishi HC Capital UK Plc;DRN-3188815
TenetConnect Limited;DRN-3192309
Openwork Limited;DRN-3196479
Mulberry Wealth Management Limited;DRN-3197784
Grove Pension Solutions Limited;DRN-3201933
ReAssure Life Limited;DRN-3202429
Gallium Fund Solutions Limited;DRN-3203252
Plus500UK Ltd;DRN-3205088
Octopus Investments Limited;DRN-3209002
Trading 212 UK Limited;DRN-3211134
Options UK Personal Pensions LLP;DRN-3213486
Monzo Bank Ltd;DRN-3213761
Tesco Personal Finance PLC;DRN-3217711
Phoenix Life Limited;DRN-3217776
QBE UK Limited;DRN-3219474
BRITANNIA GLOBAL MARKETS LIMITED;DRN-3221497
Mitsubishi HC Capital UK Plc;DRN-3221731
Phoenix Life Limited;DRN-3223371
ReAssure Limited;DRN-3228103
eToro (UK) Ltd;DRN-3229209
D C Financial Limited;DRN-3240241
Options UK Personal Pensions LLP;DRN-3256993
Wren Sterling Financial Planning Limited;DRN-3258005
Allium Money Limited;DRN-3258612
Niche Independent Financial Advisers Limited;DRN-3261670
Trading 212 UK Limited;DRN-3263018
Mortgage Express;DRN-3273904
Graham Carter Financial Services Limited;DRN-3277958
BeaconIFA Limited;DRN-3283764
BeaconIFA Limited;DRN-3283768
Thompson Taraz Managers Limited;DRN-3284017
BriceAmery Capital Ltd;DRN-3285625
Pension Insurance Corporation plc;DRN-3286942
Quadros Financial Solutions Limited;DRN-3287195
Barclays Bank UK PLC;DRN-3288464
Legal and General Assurance Society Limited;DRN-3289828
Vanquis Bank Limited;DRN-3295599
Society of Lloyd's;DRN-3297420
IG Markets Limited;DRN-3299556
Options UK Personal Pensions LLP;DRN-3300193
Lloyds Bank PLC;DRN-3300784
Thompson Taraz Managers Limited;DRN-3302154
Thompson Taraz Managers Limited;DRN-3302196
Thompson Taraz Managers Limited;DRN-3302217
Plus500UK Ltd;DRN-3302364
St. James's Place Wealth Management Plc;DRN-3304697
Fluro Platform Limited;DRN-3304893
Fluro Platform Limited;DRN-3304904
Openwork Limited;DRN-3305706
The Co-operative Bank Plc;DRN-3308115
The Co-operative Bank Plc;DRN-3309129
Bank of Scotland Plc;DRN-3311370
St. James's Place Wealth Management Plc;DRN-3311474
Aviva Life & Pensions UK Limited;DRN-3312957
Hunter Mills Limited;DRN-3313568
Covea Insurance plc;DRN-3314895
Hargreaves Lansdown Asset Management Limited;DRN-3315215
CST Wealth Management Limited;DRN-3315288
ReAssure Limited;DRN-3315553
Hiscox Insurance Company Limited;DRN-3317553
Santander UK Plc;DRN-3320224
