Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-3436144,T,Barclays Bank Plc,Banking,Declined credit card application without good reason,Credit card,"Credit card, decline, appeal","Credit card application, Appeals process, Customer service",,,uphold,Chris Russ,24 February 2023,Declined credit card application,Barclays declined the credit card application without good reason and failed to handle the complaint satisfactorily,"An apology, compensation, and for Barclays to agree a credit card for T with a good borrowing limit","Barclays declined T's application for a credit card, stating that it did not meet their lending criteria. Mr. L, acting on behalf of T, attempted to appeal the decision but was given an incorrect email address. He also complained about the poor handling of his complaint by Barclays.","The Ombudsman found that Barclays had not acted unreasonably in declining the credit card application, as the decision was based on information from credit reference agencies. However, the Ombudsman upheld the complaint due to Barclays' poor handling of the complaint, including the provision of incorrect information and the failure to properly log Mr. L's complaint."
DRN-3436275,Mr M,"Barclays Bank UK PLC, trading as Barclaycard",Financial services,Barclays Bank unfairly turned down his claim made about something bought using his credit card.,Credit card,"Credit card, misrepresentation, unfair relationship","Consumer Credit Act, debtor-creditor-supplier agreement, unfair relationship",,January 2012,Dont uphold,Mark Hutchings,12 January 2024,The Supplier made misrepresentations at the time of the sale and Barclaycard was jointly responsible under section 75 of the Consumer Credit Act 1974.,Barclaycard did not respond to the claim and so PR referred a complaint to our service that Mr Ms claim hadnt been dealt with properly.,Barclaycard to accept responsibility for the misrepresentations made by the Supplier and compensate Mr M for his losses.,"Mr M purchased holiday club membership from a business called Club La Costa using his Barclaycard. He later made a claim to Barclaycard under sections 75 and 140A of the Consumer Credit Act 1974, alleging that the Supplier had made misrepresentations and that there was an unfair debtor-creditor relationship. Barclaycard did not respond to the claim, so Mr M referred a complaint to the Financial Ombudsman Service.","The Ombudsman found that there was no debtor-creditor-supplier agreement in place between Mr M and Barclaycard, as the Supplier was not paid directly using the credit card. Therefore, the Consumer Credit Act did not apply to the claims made by Mr M. The Ombudsman also found that there was no other reason to hold Barclaycard responsible for the alleged failings of the Supplier."
DRN-3495078,Mrs D,Barclays Bank UK PLC,Banking,Mistakes and poor service when trying to open a Smart Investor account,Smart Investor account,"Smart Investor account, paperwork, delay","Account opening issues, lost paperwork, compensation",,,uphold,Elizabeth Dawes,8 February 2023,Failure to open a Smart Investor account and poor service,"Barclays' mistakes and poor service caused distress, inconvenience, and financial loss","Compensation for distress, inconvenience, time and expense, and financial losses","Mrs. D tried to open a Smart Investor account but Barclays requested certified documents for identity verification. She sent the documents twice but Barclays claims to have lost them. Barclays also provided incorrect information and failed to communicate effectively, causing distress and inconvenience to Mrs. D.","The Ombudsman found that Barclays made mistakes and provided poor service, acknowledging their shortcomings. The £100 offered by Barclays was deemed fair and reasonable compensation for the distress and inconvenience caused to Mrs. D. However, the Ombudsman could not award compensation for potential financial losses or identity fraud due to lack of evidence."
DRN-3600320,Mrs A,Barclays Bank UK PLC,Financial services,Unsuitable advice to open a stakeholder pension plan,Stakeholder pension plan,"Mis-selling, Pension advice, Financial advice","Pension mis-selling, Stakeholder pensions, Financial Ombudsman Service",,6 December 2012,uphold,Victoria Blackwood,6 February 2023,Mis-selling of a stakeholder pension plan,She was not advised of the in-house pension options available to her through the Teachers Pension Scheme (TPS) and that she would have likely bought added years in the TPS if she had been given suitable advice.,Compensation for the losses incurred due to the mis-selling of the stakeholder pension plan.,"Mrs A, a teacher, met with a Barclays Independent Financial Adviser in 2002 and was advised to take out a stakeholder pension plan, contributing £234 a month. She retired in September 2012 and in 2013, she took her tax-free cash from her stakeholder plan and purchased an annuity. In 2019, she met a friend who informed her that she may have been better off by buying added years in the TPS or contributing to the TPS Additional Voluntary Contribution (AVC) scheme instead. She complained to Barclays, which rejected her complaint. She then referred her complaint to the Financial Ombudsman Service.","The Ombudsman found that Barclays failed to provide suitable advice to Mrs A as it did not inform her of the in-house pension options available to her through the TPS. The Ombudsman considered that if Mrs A had been given suitable advice, she would have likely contributed to her employer's AVC scheme rather than the stakeholder pension plan. Therefore, the Ombudsman upheld the complaint and required Barclays to undertake a redress calculation in accordance with the regulator's FSAVC review guidance."
DRN-3609770,"L, a sole trader business operated by Mr W",Barclays Bank UK PLC,Banking,Barclays Bank UK PLC unfairly closed its business current account.,Business current account,"Account closure, communication failure, business impact","Account management, customer service, regulatory compliance",,October 2021,I dont uphold this complaint,Simon Louth,11 April 2023,Barclays Bank UK PLC closed the complainant's business current account without prior notice or communication.,"The complainant stated that he did not receive any communication from Barclays regarding the account closure and that the closure caused significant issues for his business, including inability to trade or pay suppliers, and damage to his reputation.","The complainant wanted Barclays to acknowledge the error, provide compensation for the losses incurred, and improve their communication practices.",Barclays closed the complainant's business account due to lack of response to letters requesting information for legal and regulatory compliance. The complainant denied receiving any letters and argued that Barclays should have used alternative communication methods. Barclays maintained that they followed their process and were not responsible for delivery issues.,"The Ombudsman considered the evidence and concluded that it was likely that Barclays sent the letters as they were correctly addressed. Given the bank's legal obligations and the scale of the contact operation, it was not unreasonable for Barclays to rely on postal communication. The Ombudsman found no evidence of wrongdoing by Barclays and therefore did not uphold the complaint."
DRN-3690396,Mr S,"Barclays Bank UK PLC, trading as Barclaycard",Financial services,Refund of money paid for holiday club membership points,Holiday club membership points,"Misrepresentation, Section 75, Holiday club membership","Misrepresentation of holiday club membership points, Section 75 claim, Debtor-creditor-supplier relationship",3000,October 2015,Dont uphold,Jarrod Hastings,4 July 2023,Misrepresentation of holiday club membership points and subsequent refusal of a refund,"The holiday club membership points were mis-sold to him and his partner, and they would not have purchased them if they had not been misrepresented to them.","Refund of the money paid for the membership points, compensation for the distress caused, and an apology from Barclaycard.","Mr S and his partner purchased 4,000 holiday club membership points in October 2015. They claim that the membership points were misrepresented to them by the holiday company and that they would not have purchased them if they had not been misrepresented. They made a claim to Barclaycard under section 75 of the Consumer Credit Act 1974, but Barclaycard rejected their claim on the grounds that there was no debtor-creditor-supplier agreement in place.","The Ombudsman agreed with Barclaycard that there was not enough evidence to show that the holiday company misrepresented the membership points to Mr S and his partner. He also found that, even if there had been a misrepresentation, Barclaycard would not be liable under section 75 because there was no debtor-creditor-supplier agreement in place. The Ombudsman considered that Barclaycard's £25 compensation to Mr S was fair and reasonable for the poor handling of his claim and that its response to his section 75 claim was fair and reasonable."
DRN-3722728,Mr K,Barclays Bank UK PLC,Banking,"Barclays Bank froze his share dealing account for a long period of time, preventing him from accessing it and causing him financial losses.",Execution only share dealing account,"Account restriction, documentation, financial loss","Account access, communication, compensation",,,Do not uphold,Elizabeth Dawes,4 May 2023,Freezing of share dealing account and subsequent losses incurred.,Inconvenience caused by the restriction of his account and the failure to resolve the issue promptly.,Compensation for the losses incurred due to the account restriction and an investigation into the matter.,"Barclays restricted Mr. K's share dealing account due to insufficient documentation provided for identity verification. Despite Mr. K's claims of contacting Barclays multiple times, the restriction was only lifted in March 2022 after he complained. Barclays acknowledged some shortcomings in communication and provided a £125 inconvenience payment and refunded fees.","The Ombudsman found that Barclays acted reasonably in restricting the account due to incomplete documentation. While Barclays should have followed up on Mr. K's December 2021 call, the Ombudsman considered the £125 payment and fee refund to be fair compensation. Without evidence of specific trades that Mr. K wanted to make, the Ombudsman did not find Barclays liable for financial losses."
DRN-3789898,Mr C,Barclays Bank UK PLC,Banking,Barclays did not do enough to protect him from a financial scam or help him recover the money he lost.,Investment trading account with P,"Investment scam, chargeback, regulated","Investment scam, chargeback, liability for authorised payments",14300,,opposite,Carolyn Bonnell,6 March 2023,Investment scam and chargeback,He was tricked into an investment scam and Barclays did not do enough to help him recover his money.,He wanted Barclays to refund the money he lost and to take action against the scam company.,"Mr C invested £14,300 with a company called P, which he believed to be a legitimate investment firm. However, P was actually a scam company and Mr C lost all of his money. He complained to Barclays, who initially refunded the money but then reversed the refund. Mr C complained to the Financial Ombudsman Service.","The Ombudsman found that Barclays was not liable for Mr C's losses because he had authorised the payments to P. The Ombudsman also found that there was no evidence that P was operating a scam at the time that Mr C made the payments. Therefore, the Ombudsman did not uphold Mr C's complaint."
DRN-3803834,Mr K,Barclays Bank UK PLC,Banking,Delay in identifying and fixing an issue with his debit card,Debit card,"Debit card, delay, inconvenience","Technical issue, compensation, customer service",,,Do not uphold,Amanda Williams,15 March 2023,Delay in identifying and fixing an issue with his debit card,"Denied access to funds, embarrassment, anxiety, time spent trying to resolve the issue",Adequate compensation for the inconvenience and distress caused,"Mr. K experienced declined transactions with his debit card. He reported the issue to Barclays multiple times, but the bank initially blamed external factors and asked him to change his card twice. It took Barclays until March 2022 to identify and fix the technical issue. Mr. K received £75 compensation for the inconvenience.","The Ombudsman acknowledged that Mr. K was inconvenienced by the delay in resolving the issue. However, they found that Barclays had provided fair and reasonable compensation (£150) for the inconvenience and that there was no evidence to suggest that Mr. K was denied access to his funds. Therefore, the complaint was not upheld."
DRN-3815034,Mr and Mrs B,Barclays Bank UK PLC (Barclays),Banking,Barclays has not helped them since they fell into arrears and appointed receivers.,Commercial mortgage,"Disability, Reasonable adjustments, Arrears","Unaffordable mortgage, Communication, Repossession",,,Dont uphold,Hanna Johnson,16 March 2023,Barclays' handling of their mortgage account after they fell into arrears.,Barclays did not make reasonable adjustments for Mr B's disability and did not discuss options for repayment before appointing receivers.,A way to keep their home and a review of the valuation of their property.,Mr and Mrs B took out a commercial mortgage with Barclays in 2008. Mr B has a disability which has worsened over the course of the mortgage and he is now unable to work. Mr and Mrs B say Barclays has not worked with them to find a way for them to keep their home and have only offered payment deferrals which have worsened their debt. Barclays issued a new final response on 20 July 2022 acknowledging that a flag should have been applied to Mr and Mrs B's account to indicate Mr B is a vulnerable customer and offered £75 in compensation. Mr and Mrs B rejected the offer and continued their complaint.,"The Ombudsman considered whether Barclays had made reasonable adjustments for Mr and Mrs B's circumstances and whether they had discussed options for repayment before appointing receivers. The Ombudsman found that Barclays had not made any specific reasonable adjustments, but that they had taken Mr and Mrs B's circumstances into account when making decisions. The Ombudsman also found that Barclays had given Mr and Mrs B a long time to propose a suitable way forward and that they had eventually started the process of recovering the debt by appointing receivers as they had no other viable options available."
