Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-3553936,Mr D,Lloyds Bank PLC,Banking,Rejection of complaint about the sale of timeshares financed through Lloyds Bank PLC,Timeshare,"Timeshare, misrepresentation, section 75","Sale of timeshares, Consumer Credit Act, Financial Ombudsman Service",,,Dont uphold,Phillip McMahon,7 December 2023,Sale of timeshares,Misrepresentation and pressure in the sale of timeshares,Compensation and acknowledgement of misselling,"Mr. D entered into timeshare agreements with his wife and financed them through Lloyds Bank PLC. He complained about Lloyds rejecting his complaint about the sale of timeshares. The complaint focused on two timeshare purchases, one in June 2014 and the other in July 2015. Mr. D claimed misrepresentation and unfair sales tactics, alleging that he was pressured into the agreements and that he was unable to use the timeshares as promised.","The Ombudsman considered the relevant laws and regulations, including the Limitation Act 1980, the Consumer Credit Act 1974, and the Financial Conduct Authority's Handbook. The Ombudsman found that Mr. D's claim under section 75 of the Consumer Credit Act for the first timeshare purchase was likely time-barred. Regarding the July 2015 purchase, the Ombudsman found no evidence to support Mr. D's claims of misrepresentation or unfair relationship under sections 56 and 140A of the Consumer Credit Act. The Ombudsman concluded that Lloyds Bank PLC's decision to reject Mr. D's claims was not unreasonable."
DRN-3580491,Ms H and Mr B on behalf of the estate of Mr H,Lloyds Bank PLC,Finance,Lloyds Bereavement Manager (Mr S) gave financial advice resulting in a potential inheritance tax (IHT) liability.,Scottish Widows Flexible Option Bond (bond) held in a discounted gift trust (DGT),"Inheritance tax, Financial advice, Bereavement","Financial advice, Inheritance tax liability, DGT withdrawals",,December 2018,Opposite,Dara Islam,7 March 2023,"Financial advice given by Lloyds Bereavement Manager (Mr S) to stop withdrawals from a bond held in a discounted gift trust (DGT), resulting in a potential inheritance tax (IHT) liability.","They acted on Mr S's advice and stopped withdrawals from the bond, which may result in an IHT liability if Mrs H survives for seven years.",They want Lloyds to agree to cover the future IHT liability if it arises.,"Mr H and his wife Mrs H held a Scottish Widows Flexible Option Bond (bond) held in a discounted gift trust (DGT) to assist with tax planning. In 2008, they were advised to take regular withdrawals from the bond to reduce their IHT liability. After Mr H's death in 2018, Mr S, the Lloyds Bereavement Manager, visited Mrs H to assist with administering the estate. The complainants allege that during this meeting, Mr S advised Mrs H to stop taking withdrawals from the bond to allow it to grow, which they did. Lloyds denied that Mr S gave any financial advice and stated that his role was limited to performing an administrative function only.","The Ombudsman agreed with the investigator's conclusion that it is not likely that Mr S gave financial advice. The Ombudsman considered the evidence and found that it is more likely that Mr S made a statement about Mrs H not needing additional income from the bond from an income point of view, which was not financial advice. The Ombudsman also noted that the complainants did not seek any financial advice or speak to an accountant/actuary before stopping the withdrawals from the bond, and that they should have known that there would be consequences for changing the way of doing things since 2008."
DRN-3588796,Ms C,Lloyds Bank PLC (Lloyds),Banking,Misrepresentation and breach of contract in relation to the purchase of a holiday product in 2014.,Holiday product,"Misrepresentation, breach of contract, unfair relationship","Consumer Credit Act, financial loss, credit card",,,Do not uphold,Ivor Graham,24 November 2023,"The complaint related to the purchase of a holiday product in 2014, which Ms. C alleges was misrepresented and involved a breach of contract.",Ms. C claims that she was pressured into purchasing the holiday product and was not given the opportunity to read the documents she signed. She also alleges that she was not informed about the maintenance fees until after the contract had been signed and that she was unable to sell the product back after a year as promised.,Ms. C wanted Lloyds to compensate her for the misrepresentation and breach of contract.,"In 2014, Ms. C purchased a holiday product during a cheap holiday. She alleges that she was pressured into the purchase and was not given a chance to review the documents. After a year, she tried to sell the product back but was unable to do so. She submitted a complaint to Lloyds under sections 75 and 140A of the Consumer Credit Act 1974, which was rejected.","The Ombudsman considered the available evidence and arguments and concluded that the complaint should not be upheld. The Ombudsman noted that there was no evidence to support Ms. C's claims of misrepresentation or breach of contract. Additionally, the Ombudsman considered the claim under section 140A of the Consumer Credit Act and determined that Ms. C did not have a cause of action in negligence against Lloyds."
DRN-3685619,R,Lloyds Bank PLC (Lloyds),Banking,"Lloyds blocked and closed its account without explanation, causing business problems and financial losses.",Business bank account,"Account block, account closure, processing delay","Account restrictions, communication failures, contractual rights",112268.0,6 January 2021,Dont uphold,Alex Brooke-Smith,1 June 2023,Blocking and closure of business bank account,Loss of access to funds and business disruption due to account block and closure,Compensation for losses and inconvenience,"Lloyds blocked R's account for review, provided incorrect information about the timeframe, and later closed the account. R claimed losses and inconvenience due to the account restrictions.","The Ombudsman found that Lloyds was entitled to block and close the account under its legal and regulatory obligations. While acknowledging the inconvenience caused, the Ombudsman determined that Lloyds acted within its contractual rights and did not treat R unfairly."
DRN-3704925,Mr B,Lloyds Bank PLC,Banking,Lloyds Bank PLC rejected his claim under section 75 of the Consumer Credit Act 1974.,Credit card,"Section 75, Consumer Credit Act, Misrepresentation","Breach of contract, Misrepresentation, Chargeback scheme",,,I dont uphold this complaint,Phillip McMahon,27 February 2023,Rejection of a section 75 claim,He believed there was a breach of contract or misrepresentation by the car dealer.,The complaint wanted Lloyds Bank PLC to accept his section 75 claim and compensate him for the faulty car.,"Mr B bought a car that was not in good condition and tried to make a section 75 claim with Lloyds Bank PLC, but it was rejected. He complained to the Financial Ombudsman Service about this decision.","The Ombudsman considered the evidence and concluded that there was no breach of contract or misrepresentation by the car dealer. Therefore, the rejection of the section 75 claim by Lloyds Bank PLC was not unreasonable."
DRN-3767046,Mrs A,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund a cash machine withdrawal that was made after her purse was stolen.,Cash machine withdrawal,"Cash machine withdrawal, PIN, Negligence","Liability for unauthorized transactions, Negligence, Standard of proof",200.0,,I dont uphold this complaint,Chris Russ,1 February 2023,Unauthorised cash machine withdrawal,She was the victim of a crime and had done all she could to catch the perpetrators.,Refund of the cash machine withdrawal,"Mrs. A's purse was stolen, and her Lloyds card was used to withdraw £200 from a cash machine. Lloyds Bank PLC refused to refund the money, stating that Mrs. A must have been negligent in keeping her PIN safe. Mrs. A complained to the Financial Ombudsman Service.","The Ombudsman found that it was more likely that Mrs. A had kept a record of her PIN in her purse, which allowed the thief to access her account. Therefore, the Ombudsman held that Lloyds Bank PLC was not liable for the cash machine withdrawal and did not need to refund Mrs. A."
DRN-3778289,Mr H,Lloyds Bank PLC,Banking,Investment scam,Debit card,"Investment scam, Debit card, Payments","Prevention of payments, Recovery of payments, Ombudsman's reasoning",10500.0,,not uphold,Neil Bridge,16 February 2023,Payments made using his Lloyds debit card to Elastum-Simplex for what he thought was a legitimate investment with FX GBP Markets.,Lloyds didn't do enough to protect him from losing money to an investment scam.,Refund of the lost funds.,"Mr. H made payments totaling \u00a310,500 to Elastum-Simplex for what he believed was a legitimate investment with FX GBP Markets. He later realized it was a scam and reported it to Lloyds. Lloyds did not reimburse or recover his funds, prompting him to file a complaint with the Financial Ombudsman Service.","The Ombudsman considered the available evidence and determined that Lloyds was not reasonably expected to prevent the payments as they were authorized by Mr. H. While Lloyds should have taken proactive steps to identify and prevent potentially fraudulent transactions, the payments did not appear sufficiently unusual or uncharacteristic to warrant intervention. Additionally, the Ombudsman found that the payments were not recoverable through Lloyds once they had been made as the merchant, Simplex, legitimately provided the intended services."
DRN-3778799,Mr P,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund the money he lost after he fell victim to an authorised push payment (APP) scam.,Payment services,"APP scam, reimbursement, reasonable basis for belief","APP scams, customer due diligence, bank's liability",14000.0,25 June 2021,opposite,Stephen Wise,14 March 2023,Unauthorised payment,Lloyds Bank PLC's refusal to refund the money he lost after he fell victim to an authorised push payment (APP) scam.,A full refund of the money he lost.,"Mr P was scammed into making a payment of £14,000 for a vehicle he saw advertised online. He contacted Lloyds Bank to make the payment, and although the bank staff were concerned about the transaction, they processed it. Mr P realised he had been scammed when the vehicle wasn't delivered and he couldn't contact the shipping company. He raised the matter with Lloyds, who refunded 50% of his loss but refused to refund the remaining 50%.","The Ombudsman found that Mr P did not have a reasonable basis for believing that the transaction he made was towards a legitimate sale. He took into account the price of the vehicle, the lack of information provided about the seller, the fact that Mr P did not have the opportunity to see the vehicle before he agreed to buy it, and the concerns raised by Lloyds Bank staff. The Ombudsman considered that Mr P should have done more to question the deal and satisfy himself that it was legitimate before making the payment."
DRN-3785057,Mrs R,Lloyds Bank PLC,Banking,"Unsuitable investment advice provided by Lloyds Bank in 1998, leading to financial losses.",PEP (Personal Equity Plan) and Unit Trust plan invested in the UK Growth fund,"Investment advice, suitability, compensation","Investment risk assessment, calculation of redress, fairness of compensation",,August 1998,not upholding,Susan Webb,2 February 2023,Incorrect investment advice and inadequate compensation for unsuitable investment,She should have been advised not to expose her funds to risky investments and instead keep them in a savings account.,Fair redress for the unsuitable investment advice and compensation for the losses incurred.,"In 1998, Mrs. R invested £20,000 based on Lloyds' advice, but her investment underperformed and she received £16,559.55 when she surrendered it in 2002. She felt she should have been advised against risky investments due to her circumstances. Lloyds agreed the advice was incorrect but compensated her based on a lower risk tolerance than she had. Mrs. R disagreed and escalated the complaint to the ombudsman.","The ombudsman reviewed the case and agreed with Lloyds that Mrs. R was in a strong enough financial position to invest £20,000 in 1998. While she was assessed as having a medium risk tolerance, the investment in the UK Growth fund exposed her to more risk than was suitable. However, the ombudsman considered that Mrs. R should have been advised about the potential volatility and risks involved in investing in such a fund. The 50/50 approach used by Lloyds to calculate redress was deemed reasonable as it reflected a middle ground between no risk and higher risk investments. Therefore, the ombudsman found that Lloyds had provided fair compensation and did not uphold the complaint."
DRN-3817305,Mr O,Lloyds Bank PLC (Lloyds),Banking,"Lloyds Bank PLC's refusal to refund over £20,000 in payments made from his credit card to a dating website he believes to be fraudulent.",Credit card,"Online dating scam, Credit card payments, Refund refusal","Online dating safety, Consumer protection, Payment fraud",20000.0,June 2017 and February 2020,Do not uphold,Jack Ferris,1 March 2023,Payments made to a dating website,Belief that the dating website was a scam and that Lloyds should have prevented the payments,Refund of the payments made to the dating website,"Mr. O made over 300 payments totaling over £20,000 to a dating website (UKfornication.com) using his Lloyds credit card between June 2017 and February 2020. He believes he was the victim of an online dating scam as the people he was communicating with were not real and the website went offline. Lloyds declined to refund the payments stating that Mr. O had authorized the payments and agreed to the merchant's terms and conditions.","The Ombudsman agreed with the investigator's conclusion that there was insufficient evidence to suggest that the website was operating a scam during the period when the payments were made. The terms and conditions of the website indicated that it was for adult entertainment purposes and that fictitious profiles were used. Mr. O did receive the services he paid for, as evidenced by the exchange of messages with several women. While Mr. O may have been disappointed, there was no evidence of a scam. Furthermore, the payments did not appear unusual compared to Mr. O's regular spending pattern, and therefore, there was no obligation on Lloyds to intervene or prevent the payments."
