Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-3648921,Ms A,Lloyds Bank PLC,Banking,Lloyds Bank PLC's failure to refund money lost to an investment scam.,Lloyds Bank account,"Investment scam, authorised payments, financial harm","Unauthorised payments, bank's duty of care, customer awareness",,,I dont uphold Ms As complaint,Emma Szkolar,27 March 2023,Unauthorised payments and failure to prevent financial loss,Lloyds Bank should have done more to protect her money and should have acted sooner to prevent the scam.,Refund of the money lost and an acknowledgement of Lloyds Bank's failure to protect her.,Ms A fell victim to an investment scam and lost money through unauthorised payments from her Lloyds Bank account. She complained that Lloyds Bank should have done more to protect her money and should have acted sooner to prevent the scam.,"The Ombudsman considered that the payments were authorised under the Payment Services Regulations 2017, even though Ms A may not have made them all herself. The Ombudsman also considered that even if Lloyds Bank had flagged the payments as unusual and stepped in sooner, it is unlikely that it could have prevented Ms A's loss. The Ombudsman concluded that Lloyds Bank is not to blame for Ms A's losses.",Lloyds Bank PLC
DRN-3726416,Mr T,Lloyds Bank PLC (Lloyds),Banking,Unfair failure to extend a repayment plan for his overdraft.,Overdraft facility,"Overdraft, Repayment plan, Default","Overdraft management, Communication with the bank, Default registration",,,Opposite,Marc Kelly,23 February 2023,Overdraft management and repayment plan,"The bank unfairly failed to extend a repayment plan for his overdraft, leaving him without access to necessary funds.",Extension of the repayment plan and access to a temporary overdraft facility.,"Mr. T had an overdraft with Lloyds Bank that he struggled to repay. The bank initially agreed to a six-month repayment plan but refused to extend it further, leading to the closure of his account and registration of a default. Mr. T argued that he relied on the repayment plans and that the bank's communication was unclear.","The Ombudsman found that the bank was entitled to call in the overdraft and that the short-term repayment plans were not a sustainable solution. However, the bank's communication regarding the removal of the temporary overdraft facility was unclear and caused distress to Mr. T. Therefore, the Ombudsman awarded Mr. T £100 in compensation.",Lloyds Bank PLC
DRN-3778289,Mr H,Lloyds Bank PLC,Banking,Investment scam,Debit card,"Investment scam, Debit card, Payments","Prevention of payments, Recovery of payments, Ombudsman's reasoning",10500.0,,not uphold,Neil Bridge,16 February 2023,Payments made using his Lloyds debit card to Elastum-Simplex for what he thought was a legitimate investment with FX GBP Markets.,Lloyds didn't do enough to protect him from losing money to an investment scam.,Refund of the lost funds.,"Mr. H made payments totaling \u00a310,500 to Elastum-Simplex for what he believed was a legitimate investment with FX GBP Markets. He later realized it was a scam and reported it to Lloyds. Lloyds did not reimburse or recover his funds, prompting him to file a complaint with the Financial Ombudsman Service.","The Ombudsman considered the available evidence and determined that Lloyds was not reasonably expected to prevent the payments as they were authorized by Mr. H. While Lloyds should have taken proactive steps to identify and prevent potentially fraudulent transactions, the payments did not appear sufficiently unusual or uncharacteristic to warrant intervention. Additionally, the Ombudsman found that the payments were not recoverable through Lloyds once they had been made as the merchant, Simplex, legitimately provided the intended services.",Lloyds Bank PLC
DRN-3794451,Mrs P,Lloyds Bank PLC,Banking,Lloyds Bank declined her request to make a payment and tried to unlawfully retain funds in her current account.,Current account,"Payment decline, fraud prevention, reasonable care","Delayed transfer, security measures, duty of care",250.0,21 July 2022,Not upheld,Rebecca Connelley,6 February 2023,Declined payment and alleged unlawful retention of funds,Loss of interest due to delayed transfer and inconvenience caused by the bank's request for additional security checks,Compensation of £250 for the inconvenience and loss of interest,"Mrs P called Lloyds Bank to transfer £36,000 from her current account to a savings account elsewhere. The bank declined the transfer and asked her to visit a branch with identification due to concerns about potential fraud. Mrs P felt that the bank's actions were unnecessary and caused her financial loss.","The Ombudsman considered the evidence and concluded that Lloyds Bank acted reasonably in requesting additional security checks before processing the transfer. The bank has a duty to protect its customers from potential fraud and scams, and the measures taken were in line with its fraud prevention policies. While the delay may have been inconvenient for Mrs P, the Ombudsman found no fault with the bank's motivation or course of action.",Lloyds Bank PLC
DRN-3828695,Mr K,Lloyds Bank PLC,Banking,Unfairly requiring repayment of a Bounce Back Loan (BBL).,Bounce Back Loan (BBL),"Bounce Back Loan, fraud, account closure","BBL eligibility, account activity, communication between bank and customer",,,dont uphold,Colin Brown,8 June 2023,Bounce Back Loan (BBL) repayment,"Unaware of the BBL until May 2021, closed business account in March 2020, reported stolen personal documents.",Repayment of the BBL not to be required.,"Mr. K opened a business account with Lloyds in February 2020 and applied for a Bounce Back Loan (BBL) in May 2020. £40,000 was transferred to the business account, and nearly £25,000 was moved to accounts with other banks over two days. Mr. K claims he was unaware of the BBL until May 2021 when the bank required repayment. He states he closed the business account in March 2020 and informed the bank about stolen personal documents. Lloyds maintains that the account was open and used, and that Mr. K was aware of the loan from the outset.","The Ombudsman found that there was no evidence to support Mr. K's claim that he closed the business account in March 2020 or reported stolen documents to the bank. Statements show that the account remained open and transactions continued until mid-May 2020. The Ombudsman also found that Lloyds sent Mr. K information about the bank account and the BBL to his address and phone, and that there was no evidence of how a third party could have taken control of the account, applied for the BBL, and spent the funds without Mr. K's knowledge. Therefore, the Ombudsman concluded that Lloyds did not act unfairly or unreasonably in pursuing Mr. K for repayment of the BBL.",Lloyds Bank PLC
DRN-3830366,Mr and Mrs O,Lloyds Bank PLC,Banking,"Incorrect mortgage balance calculation, high monthly payments, and lack of communication from the bank.",Mortgage,"mortgage arrears, automatic capitalisation, Financial Conduct Authority (FCA) guidance","mortgage mis-selling, unfair treatment, poor customer service",,,do not uphold,Ken Rose,15 December 2022,"Incorrect mortgage balance calculation, high monthly payments, and lack of communication from the bank.",They believe that Lloyds Bank PLC has not properly adjusted their mortgage to reflect that it had previously automatically capitalised arrears.,"They want Lloyds Bank PLC to correct the mortgage balance, reduce the monthly payments, and provide clear communication about the mortgage.",Mr and Mrs O complained that Lloyds Bank PLC had not properly adjusted their mortgage to reflect that it had previously automatically capitalised arrears. They also said that the monthly payment was wrong and that Lloyds was not answering their questions about the mortgage. The Ombudsman found that Lloyds Bank PLC had remediated the mortgage in line with the FCA guidance and that there was no evidence of any mistake in calculating the monthly payment.,The Ombudsman considered all the available evidence and arguments and concluded that there was no evidence that Lloyds Bank PLC had not remediated the mortgage correctly. The Ombudsman noted that the mortgage remains significantly in arrears and that Lloyds Bank PLC is not required to communicate with Mr and Mrs O further in regard to this complaint.,Lloyds Bank PLC
DRN-3833856,Ms B,Lloyds Bank Plc,Banking,Unauthorised payments made from her account,Debit card,"Unauthorised payments, Debit card, Reimbursement","Online banking security, Liability for unauthorised transactions, Investigation into disputed transactions",916.13,23 June 2022,Do not uphold,Karin Hutchinson,10 March 2023,Unauthorised payments made from her account using her debit card and mobile banking app.,She did not authorise the payments and believed her friend had made them without her knowledge or consent.,Reimbursement of the disputed payments.,Ms B reported unauthorised transactions made from her debit card to a cryptocurrency company. Lloyds declined her claim as the payments were made using her device and she had advised no one had access to her card or phone. She later explained that her friend had made the payments without her knowledge and thought her friend was a victim of a scam. Lloyds said they would need a police report to reassess the claim.,"The Ombudsman considered the evidence provided by both parties and found it more likely than not that Ms B authorised or consented to the disputed transactions. The payments were made from her device and IP address, and she had not provided sufficient evidence to support her claim that her friend had made the payments without her knowledge or consent.",Lloyds Bank PLC
DRN-3859212,Mr and Mrs E,Lloyds Bank PLC,Banking,Cash withdrawal discrepancy,Cash withdrawal,"Cash withdrawal, discrepancy, investigation","Missing cash, CCTV footage, Ombudsman's decision",800.0,August 2022,Dont uphold,Sarah Green,23 February 2023,Cash withdrawal discrepancy of £800 from Lloyds Bank.,Lloyds Bank refused to provide the missing cash or the requested CCTV footage.,The missing £800 and the CCTV footage.,"Mr and Mrs E withdrew £2,800 from a Lloyds Bank branch. Upon counting the money at home, they found it to be £800 short. Lloyds Bank investigated but found no discrepancies or till errors. The Ombudsman reviewed the case and agreed with the bank's findings.","The Ombudsman considered the cashbox and TCR totals, which balanced on the day of the transaction. The fact that Mrs E received the two £10 notes dispatched at the end of the transaction also indicates that the full withdrawal occurred. The 2-week gap between the transaction and the discovery of the discrepancy raises the possibility of third-party access to the envelope. CCTV footage was deemed unlikely to provide conclusive evidence as it faces the customer rather than the cashier. Based on the available evidence, the Ombudsman found it difficult to determine with certainty what happened and concluded that Lloyds Bank was not required to take any further action.",Lloyds Bank PLC
DRN-3861511,Mrs R,Lloyds Bank PLC,Banking,Lloyds Bank sold back currency which she was unable to collect.,Currency exchange,"currency, exchange rate, refund","foreign exchange, customer service, financial loss",1391.0,August 2021,dont uphold,David Singh,26 January 2023,Sale of foreign currency,"Unable to collect foreign currency due to ill health, resulting in financial loss.",Refund of the exchange rate difference,"Mrs. R ordered foreign currency for a holiday but was unable to travel due to ill health. Lloyds Bank sold back the currency, resulting in a loss due to exchange rate differences. Mrs. R complained that the bank should have held the currency for longer or informed her about the deadline more clearly.","The Ombudsman considered the evidence and concluded that Lloyds Bank had acted fairly and reasonably. The bank had extended the deadline for collecting the currency on multiple occasions and had communicated with Mrs. R about the situation. While the Ombudsman acknowledged Mrs. R's ill health, they determined that Lloyds was not responsible for the exchange rate loss.",Lloyds Bank PLC
DRN-3878090,Mr G,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund money lost to a scam.,Payment services,"Scam, Payment, Liability","Fraud detection, Liability for authorised payments, Recovery of lost funds",3500.0,,Dont uphold,Emma Szkolar,10 May 2023,Unauthorised payment,"The complainant argues that the bank should have detected the fraud and prevented the payment, or at least done more to recover the funds.",Refund of the lost money,"Mr G fell victim to a scam and lost £3,500 in an authorised payment. He complained to Lloyds Bank PLC, arguing that they should have detected the fraud and prevented the payment, or at least done more to recover the funds. Lloyds Bank PLC declined to refund the money.","The Ombudsman considered the Payment Services Regulations 2009 and found that Lloyds Bank PLC was expected to execute authorised payment instructions without undue delay. It was not in dispute that Mr G was scammed, but he had also authorised the disputed payment. The Ombudsman also considered whether Lloyds Bank PLC should have realised Mr G was at risk from fraud and failed to intervene appropriately, but found that the payment value and destination did not stand out as particularly unusual. The Ombudsman concluded that Lloyds Bank PLC was not at fault for failing to stop or recover Mr G's losses and therefore could not be held liable.",Lloyds Bank PLC
