Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-3314895,T,Covea Insurance plc (Covea),Insurance,Covea unfairly declined a claim for loss of registration and crisis containment under its Nursery Care insurance policy.,Nursery Care insurance policy,"Loss of registration, crisis containment, nursery","Insurance claim, business closure, regulatory compliance",,,opposite,Ankita Patel,28 July 2023,Loss of registration and crisis containment under a Nursery Care insurance policy,Covea unfairly declined its claim for loss of revenue and reputational damage after it voluntarily closed its business due to safety concerns.,Payment of the claimed loss of revenue and reputational damage,"T, a nursery operator, made a claim to Covea for loss of revenue and reputational damage after it voluntarily closed its business due to safety concerns. Covea declined the claim on the grounds that T's registration was not cancelled by the regulator and that there were no crisis containment costs incurred.","The Ombudsman found that Covea acted fairly and reasonably in declining T's claim. The policy required T's registration to be cancelled by the regulator for the loss of registration cover to be triggered, which did not happen. Additionally, the crisis containment costs covered under the policy were limited to those associated with utilizing the services of a marketing and/or public relations consultant or advisor, which T did not incur.",Covea Insurance plc
DRN-3320224,Mr W,Santander UK Plc,Financial services,Misrepresentation of a long term holiday product and not receiving the services he purchased,Club Infiniti holiday points membership,"Misrepresentation, Credit card, Holiday product","Consumer rights, Financial services, Misrepresentation",,,Opposite,Mike Ingram,11 April 2023,Misrepresentation of a long-term holiday product and the inability to obtain the services purchased.,"Mr. W alleges that he was misled about the features and benefits of the Club Infiniti holiday points membership, and that he has been unable to use the points as he expected.","Mr. W wants Santander to refund the £4,000 he paid for the Club Infiniti points purchased using his Santander credit card.","Mr. W purchased Club Infiniti holiday points membership in 2011 and 2013. He alleges that he was mis-sold the product and that he has been unable to use the points as he expected. He brought a claim against Santander under section 75 of the Consumer Credit Act 1974, but Santander denied liability.",The Ombudsman found that Mr. W's complaint was not upheld because he could not provide sufficient evidence to support his allegations of misrepresentation. The Ombudsman also found that Mr. W's claim under section 75 of the Consumer Credit Act 1974 was not valid because the credit was not provided under arrangements between Santander and the supplier of the holiday product.,Santander UK Plc
DRN-3494918,Mr G,The Royal London Mutual Insurance Society Limited (Royal London),Financial services,"Incorrect information provided by Royal London about how he could utilize his pension funds, leading to financial detriment, trouble, and upset.",Personal pension,"Incorrect information, pension benefits, financial detriment","Pension planning, retirement income options, guaranteed annuity rates",23033,,Not upheld,Kevin Williamson,20 April 2023,Incorrect information provided by Royal London regarding the ability to take the non-guaranteed annuity rate (non-GAR) element of his pension plan separately and place it into a separate personal pension with income release.,"Royal London's failure to provide accurate and consistent information about the options available for taking his pension benefits, causing him inconvenience, frustration, and financial loss.","Compensation for the financial loss, inconvenience, and distress caused by Royal London's actions, including a refund of arrangement fees, compensation for projected pension loss, and recognition of the stress and inconvenience experienced.","Mr. G, the complainant, had a personal pension with Royal London and was exploring his retirement income options. He wanted to take the guaranteed annuity rate (GAR) and non-GAR elements of his benefits separately. However, Royal London provided incorrect information on multiple occasions, leading Mr. G to believe that he could separate the funds as he intended. After submitting his annuity application, Royal London discovered its error and informed Mr. G that the separation was not possible. This resulted in Mr. G missing out on a potentially higher annuity income and causing him frustration, inconvenience, and additional time spent trying to resolve the issue.","The Ombudsman considered the evidence and determined that while Royal London provided incorrect information and made errors, it did take steps to rectify the situation, including providing an apology, feedback to the relevant business area, implementing checks to ensure accurate information is provided to customers, and offering Mr. G a redress of £1,000. The Ombudsman concluded that Royal London's offer of redress was reasonable and that Mr. G was not entitled to the additional compensation he sought. Therefore, the complaint was not upheld.",The Royal London Mutual Insurance Society Limited
DRN-3516803,Mrs S,HSBC UK Bank Plc,Banking,Incorrect advice about tax liability during an investment review and failure to explore alternative options to reduce tax liability.,HSBC Global Sustainable Multi-Asset Conservative Portfolio and two investment bonds referred to as Bond A and Bond B.,"Tax liability, Investment advice, Financial Planning Report","Tax estimation, Suitability of advice, Communication during advice",35000,July 2020,Not upheld,Rajvinder Pnaiser,27 March 2023,Incorrect tax liability advice and failure to explore alternative tax-efficient investment options.,"The complainant incurred a higher tax liability than estimated by HSBC, resulting in financial loss.",The complainant wanted HSBC to acknowledge the error in tax estimation and provide a suitable resolution for the financial loss incurred.,"Mrs. S received investment advice from HSBC, including an estimated tax liability of £17,229.62 for surrendering two bonds. However, her actual tax liability was around £35,000. She complained to HSBC, which upheld the complaint. Mrs. S then referred the complaint to the Financial Ombudsman Service.","The Ombudsman found that the difference in tax liability was due to Mrs. S not disclosing a previous withdrawal of £45,000 from one of the bonds. HSBC had provided an explanation of how the tax liability was estimated, and there was a warning in the Financial Planning Report that the figures were approximate and did not constitute tax advice. The Ombudsman also considered the advice given to be suitable based on Mrs. S's investment objectives and risk profile.",HSBC UK Bank Plc
DRN-3549792,Mrs W,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC didn't do enough to assist her when she tried to cancel a payment she made using her credit card to acquire a holiday club membership.,Credit card,"Holiday club membership, Mis-selling, Cancellation of payment","Cancellation of payment, Misrepresentation, Consumer Credit Act",,17 December 2017,Do not uphold,Jane Archer,15 May 2023,The complaint relates to the support provided by Barclays when Mrs. W contacted them to cancel her payment for a holiday club membership and whether the trial membership she acquired was misrepresented.,Mrs. W felt that Barclays should have done more to protect her when she tried to cancel the payment and that the trial membership was misrepresented.,Mrs. W wanted Barclays to refund the payment she made for the holiday club membership and to acknowledge that the trial membership was misrepresented.,"Mrs. W signed a purchase agreement for a holiday club membership and paid the deposit using her Barclays credit card. A few hours later, she realized she had been mis-sold the membership and contacted Barclays to cancel the payment, but was told it couldn't be done. She then agreed with the Supplier to use the deposit payment for a trial membership, which she didn't use due to additional costs.","The Ombudsman found that Barclays was not wrong to act on Mrs. W's instruction to cancel the payment as it was authorized. Additionally, the Ombudsman found no evidence of a breach of contract or misrepresentation regarding the trial membership, and therefore Barclays was not wrong to not uphold her complaint.",Barclays Bank UK PLC
DRN-3588755,Mrs P,National Westminster Bank Plc,Banking,Mis-sold timeshare,Timeshare,"Misrepresentation, Limitation Act, Consumer Credit Act","Misrepresentation, Time limits for bringing a claim, Credit card payments",,7 August 1999,opposite,Mike Ingram,28 February 2023,Mis-selling of a timeshare,She and her husband were misled into buying the timeshare,A full refund of the sale price plus interest at 8% a year,"Mrs P and her husband bought a timeshare in 1999 using their NatWest credit card. In 2019, she complained to NatWest that they had been mis-sold the timeshare and sought a refund. NatWest rejected her claim, arguing that it was outside the six-year limitation period. Mrs P referred the matter to the Financial Ombudsman Service.","The Ombudsman found that Mrs P's claim was time-barred under the Limitation Act 1980. He also considered whether the credit card agreement created an unfair relationship under the Consumer Credit Act, but found that this was not the case. He concluded that NatWest had treated Mrs P fairly and did not require the bank to take any further steps to resolve her complaint.",National Westminster Bank Plc
DRN-3609645,Mr and Mrs S,Barclays Bank UK PLC,Banking,"Barclays' decision to decline their application for a new mortgage with additional borrowing, resulting in early repayment charges and a final redemption fee.",Mortgage,"mortgage, additional borrowing, early repayment charge","mortgage lending, affordability assessment, fairness in decision-making",3334.48,November 2021,Do not uphold,Thomas Brissenden,16 February 2023,"Barclays' decision to decline their application for a new mortgage with additional borrowing, resulting in early repayment charges and a final redemption fee.",They felt Barclays treated them unfairly by declining the application and not providing specific information on the reasons for the decision.,"Refund of the early repayment charge and final redemption fee, compensation for the distress caused by the declined application.","Mr and Mrs S applied for a new mortgage with additional borrowing to Barclays, but the application was declined. They were charged an early repayment charge and a final redemption fee as a result of not being able to port their existing mortgage. They complained about Barclays' decision, arguing that they met the criteria and that the bank should have provided the additional borrowing.","The Ombudsman considered the evidence and arguments presented by both parties. While acknowledging the complainants' frustration, the Ombudsman found that Barclays did not act unfairly in declining the application. The mortgage calculator did not provide a guarantee of the additional borrowing, and Barclays had a responsibility to ensure responsible lending. The Ombudsman also noted that Barclays had undertaken checks on the application and made a risk-based decision based on the information provided.",Barclays Bank UK PLC
DRN-3614221,Mr S and Ms R,BUPA Insurance Limited,Insurance,BUPA declined their claim for medical costs associated with a caesarean section because of Cephalopelvic disproportion (CPD).,Private medical insurance policy,"Caesarean section, Cephalopelvic disproportion, Medical insurance","Medical treatment, Policy interpretation, Unfairness",,,Dont uphold,David Curtis-Johnson,6 February 2023,Claim for medical costs associated with a caesarean section,They believe BUPA unfairly declined their claim and acted unreasonably in their handling of the complaint,Payment of the medical costs associated with the caesarean section,"Ms R sought cover under a private medical insurance policy for medical costs associated with a caesarean section due to Cephalopelvic disproportion (CPD). BUPA declined the claim, stating that the policy doesn't cover treatment for childbirth and delivery of a baby, and that CPD doesn't fall within the exceptions to this exclusion. Mr S and Ms R complained to BUPA and then to the Financial Ombudsman Service.",The Ombudsman considered the policy terms and the medical evidence provided and concluded that BUPA did not act unfairly or unreasonably in declining the claim. The Ombudsman found that the treatment Ms R wanted covered did not meet the policy definition of treatment and that CPD is not an acute condition as defined by the policy.,BUPA Insurance Limited
DRN-3625185,Mrs C and the estate of Mr C,Barclays Bank UK PLC,Banking,Unsuitable investment advice given by Barclays Bank UK PLC,With-profits fund bond,"Investment advice, suitability, with-profits bond","Suitability of investment advice, appropriateness of investment term and income level, mis-selling of investment product",,July 1999,Dont uphold,Yoni Smith,23 June 2023,The advice given to them to invest in a with-profits fund bond,"The minimum term of the investment was inappropriate considering the late Mr C's age at the time of the sale and the income had been set at 6%, which meant it was taxable",The complaint wanted Barclays to acknowledge that the advice was unsuitable and provide compensation for the losses incurred.,"Mrs C and the late Mr C invested £20,000 into a with-profits fund bond following advice in July 1999. The bond was surrendered after ten years, in September 2009. They received approximately £11,000. Having already received approximately £13,000 through monthly income since inception. In December 2020, they complained to Barclays that the minimum term of the investment had not been appropriate considering the late Mr C's age at the time of the sale and the income had been set at 6%, which meant it was taxable and should instead have been below 5%.",The Ombudsman considered all the available evidence and arguments and concluded that the advice given was suitable for Mrs C and the late Mr C's needs and circumstances at the time. The Ombudsman noted that the bond recommended matched their attitude to risk and supplemented their income as they wanted. The Ombudsman also considered the arguments made by the CMC but did not agree that the term of the investment or the level of income selected were unsuitable.,Barclays Bank UK PLC
DRN-3625768,D - a business,National Westminster Bank Plc,Banking,Poor service in relation to business loan rates renewal,Business loan,"['Business loan', 'Interest rates', 'Customer service']","['Communication between bank and customer', 'Timeliness of response', 'Compensation for inconvenience']",,15 January 2021,Dont uphold,Chandni Green,27 February 2023,Service provided by the business relationship manager and the lack of contact from them.,NatWest's poor customer service had a negative impact on the business and further compensation is due.,Further compensation and the lower rates initially offered should be honoured.,"NatWest sent a letter to the complainant on 15 January 2021 explaining that the interest rate on its business loan was due to expire. The complainant contacted NatWest on 4 and 18 February 2021 as he had misplaced the letter. NatWest says it has no record or Mr L making contact about the new rates until 26 February 2021. The complainant confirmed he wished to go with a 7-year fixed rate at 3.54%, which was outlined in the initial letter of 15 January 2021. However, the relationship manager later confirmed that this rate was no longer available and a revised rate of 3.96% was on offer.","The Ombudsman considered all the available evidence and arguments and concluded that NatWest did not need to take any further action. The Ombudsman found that there was some initial delay in contacting the complainant, but the complainant also had a responsibility to ensure he returned any contact that was made. The Ombudsman also found that the £300 goodwill gesture offered by NatWest was in keeping with the type of award that would be recommended for the shortcomings in service.",National Westminster Bank Plc
